trn_acc,val_acc,val_loss
0.1,0.06,2.31021
0.12,0.12,2.29758
0.11,0.11,2.29955
0.14,0.09,2.29237
0.18,0.24,2.24352
0.19,0.25,2.1706
0.23,0.26,2.13957
0.29,0.4,1.88018
0.35,0.37,1.94761
0.36,0.3,1.9641
0.47,0.33,1.94043
0.34,0.41,1.86474
0.43,0.48,1.70586
0.43,0.42,1.64478
0.45,0.47,1.61948
0.54,0.45,1.53061
0.42,0.45,1.62722
0.56,0.49,1.603
0.48,0.48,1.35471
0.57,0.56,1.27366
0.61,0.61,1.2469
0.5,0.47,1.50536
0.64,0.59,1.1767
0.59,0.44,1.60444
0.65,0.63,1.20493
0.71,0.46,1.35631
0.59,0.46,1.45354
0.69,0.67,0.99736
0.68,0.52,1.24908
0.72,0.6,1.05676
0.84,0.6,1.12134
0.68,0.55,1.30284
0.76,0.6,1.06922
0.75,0.63,1.08431
0.69,0.63,1.24064
0.86,0.55,1.2638
0.79,0.68,1.00365
0.87,0.57,1.22358
0.8,0.59,1.19251
0.84,0.63,1.24328
0.94,0.63,1.02875
0.82,0.63,1.16787
0.92,0.6,1.21334
0.85,0.53,1.46541
0.9,0.56,1.14515
0.96,0.65,1.33123
0.96,0.7,0.909895
0.93,0.59,1.10217
0.97,0.55,1.49055
0.87,0.64,1.01229
0.98,0.64,1.28114
0.99,0.6,1.4236
0.99,0.61,1.25391
0.98,0.52,1.52111
0.97,0.57,1.47848
0.94,0.58,1.12218
0.99,0.56,1.48682
0.93,0.56,1.52385
0.98,0.66,1.29572
0.98,0.65,1.16069
0.99,0.56,1.53376
1.0,0.7,0.963795
0.98,0.62,1.5573
1.0,0.61,1.74307
0.97,0.55,1.49091
0.99,0.63,1.9086
0.99,0.54,2.08226
0.98,0.51,2.19481
1.0,0.58,1.84166
1.0,0.62,2.23712
0.92,0.51,2.2722
1.0,0.74,1.56417
1.0,0.59,2.24912
1.0,0.66,1.69001
0.99,0.69,1.70625
